name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates
3PAR,Software,148,acquired,USA,CA,Fremont,3,Amerindo Investment Advisors:100000000|Mayfield:32000000|Mayfield Fund:116000000.0|Menlo Ventures:32000000|Oracle Corporation:48000000.0|Sun Microsystems:32000000|Veritas Software:32000000|Worldview Technology Partners:148000000.0,8,Hewlett-Packard,Curated Web|Information Technology,USA,CA,Palo Alto,2350000000,USD,Alameda,1999,37.727239:-123.032229
3Pillar Global,Services,25.92,operating,USA,VA,Fairfax,4,Nestors Financial:10000000|NewSpring Capital:12000000,2,-,-,-,-,-,-,-,Fairfax,2006,37.494373:-121.941117
3Play Media,Software,1.011601,operating,USA,MA,Cambridge,3,MassChallenge:50000,1,-,-,-,-,-,-,-,Middlesex,2007,38.853183:-77.299025
3scale,Software,5,operating,USA,CA,San Francisco,2,CIDEM / ACC1Ã“:800000|Costanoa Venture Capital:4200000|Inveready Technology Investment Group:800000|Javelin Venture Partners:4200000|NEOTEC:800000|David Thevenon:800000,6,-,-,-,-,-,-,-,San Francisco,2007,42.375967:-71.118275
3Scan,Technology,7.063012,operating,USA,CA,San Francisco,4,Data Collective:6673012|Dolby Family Ventures:6673012|Lux Capital:6673012|SK Ventures:6673012|Start-Up Chile:40000|Thiel Foundation:350000,6,-,-,-,-,-,-,-,San Francisco,2011,37.727239:-123.032229
3SI Security Systems,Software,13,operating,USA,PA,Malvern,1,American Capital Strategies:13000000,1,-,-,-,-,-,-,-,Chester,1971,37.727239:-123.032229
3TEN8,Software,1.67,operating,USA,CA,Santa Clara,1,Alchemist Accelerator:1670000|Citrix Startup Accelerator:1670000|Karlin Ventures:1670000|Launchpad LA:1670000|Undisclosed Venture Capital Fund:1670000|Christian Dahlen:1670000|Ken Arnold:1670000,7,-,-,-,-,-,-,-,Santa Clara,2013,40.033147:-75.515363
3VR,Software,64.567194,operating,USA,CA,San Francisco,7,DAG Ventures:9000000|Focus Ventures:17000000|In-Q-Tel:10000000|Kleiner Perkins Caufield & Byers:22567194.0|Menlo Ventures:32567194.0|Opus Bank:8000000|VantagePoint Capital Partners:24000000.0,7,-,-,-,-,-,-,-,San Francisco,2002,37.364613:-121.967934
3X Systems,Software,3.393925,operating,USA,OH,Columbus,2,North Coast Angel Fund:1700000|Rev1 Ventures:1700000,2,-,-,-,-,-,-,-,Franklin,2007,37.727239:-123.032229
4-Tell,Finance,2.374979,operating,USA,WA,Stevenson,6,Gorge Angel Investor Network:1000000|Portland Seed Fund:1025000.0|The Yoshida Group:1000000|Bruce Davis:1000000|Craig Froude:1000000|Doug Fieldhouse:1000000|Jon Peterson:1000000,7,-,-,-,-,-,-,-,Skamania,2009,39.984799:-82.985044
410 Labs,Software,0.75,operating,USA,MD,Baltimore,1,500 Startups:750000|Fortify Ventures:750000|Maryland Venture Fund:750000|True Ventures:750000,4,-,-,-,-,-,-,-,Baltimore City,2010,45.694743:-121.896374
41st Parameter,Software,38.06457,acquired,USA,CA,San Jose,4,Georgian Partners:13000000|Icon Ventures:23070000.0|Kleiner Perkins Caufield & Byers:34270000.0|Norwest Venture Partners - NVP:34270000.0|Vilicus Ventures:13000000,5,Experian,Analytics|Credit|Data Security|Information Services,USA,CA,Costa Mesa,324000000,USD,Santa Clara,2004,39.300213:-76.610516
42Floors,Finance,17.4,operating,USA,CA,San Francisco,4,Bessemer Venture Partners:17000000.0|BoxGroup:5400000.0|Camber Creek:400000|Columbus Nova Technology Partners:12000000|Founder Collective:400000|New Enterprise Associates:12000000|Red Swan Ventures:5000000|Start Fund:400000|SV Angel:400000|Thrive Capital:17000000.0|Y Combinator:400000|Alex Bresler:5400000.0|Alexis Ohanian:5000000|Chris Dixon:5000000|Dave McClure:5000000,15,-,-,-,-,-,-,-,San Francisco,2011,37.296867:-121.819306
480 Biomedical,Technology,49.656999,operating,USA,MA,Watertown,5,Broadview Ventures:1200000|Intersouth Partners:15000000|North Bridge Venture Partners & Growth Equity:15000000|Polaris Partners:15000000,4,-,-,-,-,-,-,-,Middlesex,2011,37.727239:-123.032229
4INFO,Marketing,320.288,operating,USA,CA,San Mateo,8,"Draper Fisher Jurvetson (DFJ):64288000.0|Gannet Capital:8000000|Gannett Co., Inc.:52000000.0|Mezzanin Kapital:8000000|Mitsui & Co. Global Investment:14000000|Peacock Equity:270000000.0|Sand Hill Capital:38000000.0|Selby Venture Partners:20000000|U.S. Venture Partners (USVP):64288000.0|Vulcan Capital:22000000.0|Dan Ehrman:18000000.0|Tim Connors:18000000.0",12,-,-,-,-,-,-,-,San Mateo,2004,-1
4moms,Software,60,operating,USA,PA,Pittsburgh,5,Bain Capital Ventures:60000000.0|Castanea:40000000,2,-,-,-,-,-,-,-,Allegheny,2005,37.56031:-122.3106
4Soils,Software,0.05,operating,USA,CA,Stanford,1,The Startup Factory:50000,1,-,-,-,-,-,-,-,Santa Clara,2012,40.439753:-79.976592
ChartRequest,Software,0.74,operating,USA,NY,New York,2,Blueprint Health:300000,1,-,-,-,-,-,-,-,New York,2012,37.425965:-122.167218
5BARz International,Mobile,6.1,ipo,USA,WA,Seattle,2,New Ground Ventures:3500000,1,-,-,-,-,-,-,-,King,2008,40.664274:-73.9385
5min Media,Education,12.8,acquired,USA,NY,New York,3,Globespan Capital Partners:7500000|Spark Capital:12500000.0,2,AOL,Advertising Platforms|Content Creators|Digital Media|News,USA,NY,New York,65000000,USD,New York,2007,47.620499:-122.350876
5th Planet Games,Games,3,operating,USA,CA,Roseville,1,DCA Capital Partners:3000000|Moneta Ventures:3000000,2,-,-,-,-,-,-,-,Placer,2009,40.664274:-73.9385
5to1,Marketing,17.12976,acquired,USA,WA,Seattle,4,Fuse Capital:8802260.0|Prism Venture Management:8802260.0|Phillip Frost:6500000,3,Yahoo!,Email|Internet|Photography|Portals|Search|Technology,USA,CA,Sunnyvale,30000000,USD,King,2009,38.765743:-121.303159
64 Pixels,Software,0.1,operating,USA,CA,Mountain View,1,Dave McClure:100000,1,-,-,-,-,-,-,-,Santa Clara,2010,47.620499:-122.350876
6connect,Software,3.019139,operating,USA,CA,San Francisco,2,HWVP:3019139.0,1,-,-,-,-,-,-,-,San Francisco,2009,37.399364:-122.079517
6Qube,Services,0.1,operating,USA,TX,Cedar Park,1,Lighter Capital:100000,1,-,-,-,-,-,-,-,Williamson,2009,37.727239:-123.032229
6fusion,Software,37.143865,operating,USA,NC,Raleigh,5,Grotech Ventures:7000000|Intersouth Partners:10000000.0,2,-,-,-,-,-,-,-,Wake,2008,30.514738:-97.81738
6sense,Marketing,32,operating,USA,CA,San Francisco,3,Bain Capital Ventures:20000000|Battery Ventures:32000000.0|Silicon Valley Bank:12000000|Venrock:32000000.0,4,-,-,-,-,-,-,-,San Francisco,2013,35.830204:-78.641439
6SensorLabs,Health,8,operating,USA,CA,San Francisco,2,Lemnos Labs:4000000|SK Ventures:8000000.0|SoftTech VC:4000000|Upfront Ventures:4000000|Xandex Investments LLP:4000000|Mitchell Kapor:4000000,6,-,-,-,-,-,-,-,San Francisco,2013,37.727239:-123.032229
7 Billion People,Software,6.528902,closed,USA,TX,Austin,3,SmithCo Investments:3800000,1,-,-,-,-,-,-,-,Travis,2006,37.727239:-123.032229
71lbs,Software,2.45,operating,USA,FL,Fort Lauderdale,5,Techstars Chicago (Formerly Excelerate Labs):75000|IDEA Fund Partners:2000000|OCA Ventures:75000|Pritzker Group Venture Capital:75000,4,-,-,-,-,-,-,-,Broward,2011,30.307182:-97.755996
Shoppable,Marketing,1.5,operating,USA,NY,New York,2,On Grid Ventures LLC:1500000,1,-,-,-,-,-,-,-,New York,2011,26.141305:-80.143896
7AC Technologies,Technology,16.036,operating,USA,MA,Beverly,6,3M New Ventures:4500000|Clean Energy Venture Group:460000,2,-,-,-,-,-,-,-,Essex,2009,40.664274:-73.9385
7Park Data,Software,3,operating,USA,NY,New York,1,Mueller Ventures:3000000,1,-,-,-,-,-,-,-,New York,2012,42.558498:-70.843822
7signal Solutions,Software,9.85,operating,USA,OH,Akron,4,Allos Ventures:4000000|JumpStart Inc.:250000|Mutual Capital Partners:4000000|North Coast Angel Fund:4250000.0|Ohio TechAngels Fund:250000|Rev1 Ventures:3600000,6,-,-,-,-,-,-,-,Summit,2006,40.664274:-73.9385
8 Inc.,Services,4.5,operating,USA,NY,New York,2,Beth Haggerty:1400000,1,-,-,-,-,-,-,-,New York,2013,41.080456:-81.521429
8fit - Fitness for the rest of us,Entertainment,2.73,operating,USA,CA,Palo Alto,3,VitaminaK:2700000.0|Mark Evans:2500000,2,-,-,-,-,-,-,-,Santa Clara,2014,40.664274:-73.9385
8tracks Radio,Entertainment,5.27998,operating,USA,CA,San Francisco,3,Andreessen Horowitz:1500000|Index Ventures:1500000|Silicon Valley Bank:2500000|SoftTech VC:2779980.0|Ben Drury:1500000,5,-,-,-,-,-,-,-,San Francisco,2008,37.399782:-122.142776
9+ Program,Services,4.5,operating,USA,CA,Menlo Park,2,Plug & Play Ventures:2500000,1,-,-,-,-,-,-,-,San Mateo,2013,37.727239:-123.032229
908 Devices,Manufacturing,29.3,operating,USA,MA,Boston,4,ARCH Venture Partners:26700000.0|In-Q-Tel:8100000|Razor's Edge Ventures:26700000.0|Saudi Aramco Energy Ventures:11600000|Schlumberger Limited:18600000.0|University of Tokyo Edge Capital:8100000|UTEC- University of Tokyo Edge Capital:26700000.0,7,-,-,-,-,-,-,-,Suffolk,2012,37.479736:-122.148097
Applauze,Mobile,10.45,operating,USA,CA,Mountain View,3,"500 Startups:3250000|Athena Technology Investors:7200000|CrunchFund:3250000|Felicis Ventures:3250000|Great Oaks Venture Capital:7200000|Kapor Capital:3250000|m8 Capital:10450000.0|True Ventures:7200000|Vayner/RSE:7200000|Andrew Boszhardt, Jr.:7200000|James Joaquin:3250000|Jeff Fluhr:7200000|Raj Sandhu:7200000",13,-,-,-,-,-,-,-,Santa Clara,2010,42.33196:-71.020173
99designs,Services,45,operating,USA,CA,Oakland,2,Accel:45000000.0|Recruit Strategic Partners:10000000|Anthony Casalena:35000000|Michael Dearing:35000000|Stewart Butterfield:35000000,5,-,-,-,-,-,-,-,Alameda,2008,37.399364:-122.079517
99Gamers,Finance,0.1,operating,USA,CA,Mountain View,1,500 Startups:100000,1,-,-,-,-,-,-,-,Santa Clara,2012,37.769857:-122.22564
9Mile Labs,Software,0.9,operating,USA,WA,Seattle,1,Enrique Godreau III:900000|Kevin Croy:900000|Rudy Gadre:900000|Sandy Sharma:900000|Sanjay Puri:900000|Tom Casey:900000,6,-,-,-,-,-,-,-,King,2013,37.399364:-122.079517
A Plus,Entertainment,3.5,operating,USA,NY,New York,1,Social Starts:3500000|Vayner/RSE:3500000,2,-,-,-,-,-,-,-,New York,2013,47.620499:-122.350876
A-76 Technologies,Manufacturing,2.5,operating,USA,TX,Houston,1,Nazmark:2500000|Southern Funds Group:2500000|James Thompson:2500000|Mark Dice:2500000,4,-,-,-,-,-,-,-,Harris,2014,40.664274:-73.9385
A Bit Lucky,Games,10.312103,closed,USA,CA,San Mateo,2,Felicis Ventures:10312103.0|Founder Collective:10312103.0|Lerer Hippeau Ventures:10312103.0|Nexon:7712103|SV Angel:10312103.0|XG Ventures:2600000|David Lawee:2600000|Kevin Tung:7712103,8,-,-,-,-,-,-,-,San Mateo,2009,29.780472:-95.386342
A la Mobile,Mobile,14.3,operating,USA,CA,San Ramon,3,Menlo Ventures:6750000|Venrock:4050000,2,-,-,-,-,-,-,-,Contra Costa,2005,37.56031:-122.3106
A1 Software Group Inc (Selly Automotive),Software,0.02,operating,USA,CA,San Francisco,2,Blue Startups:20000,1,-,-,-,-,-,-,-,San Francisco,2014,37.761542:-121.937694
A10 Networks,Software,118,ipo,USA,CA,San Jose,4,Enspire Capital:32000000.0|H&Q Asia Pacific:15000000.0|Harbinger Ventures:38000000.0|Mitsui & Co:6000000|Mitsui & Co. Global Investment:23000000|Summit Partners:80000000|Triton Ventures:38000000.0,7,-,-,-,-,-,-,-,Santa Clara,2004,37.727239:-123.032229
A123 Systems,Hardware,502.86,ipo,USA,MA,Westborough,8,Alliance Capital Ventures:30000000|Espí­rito Santo Ventures:69000000|General Electric (GE):99000000.0|Madison Parker Capital:30000000|Massachusetts Institute of Technology - MIT:30000000|Motorola Solutions:30000000|North Bridge Venture Partners & Growth Equity:30000000|Procter & Gamble (P&G):30000000|Qualcomm Incorporated:30000000|Sequoia Capital:30000000|U.S. Department of Energy:249000000,11,-,-,-,-,-,-,-,Worcester,2001,37.296867:-121.819306
Aarden Pharmaceuticals,Technology,0.5,closed,USA,IN,Indianapolis,1,Innovate Indiana Fund:500000,1,-,-,-,-,-,-,-,Marion,2008,-1
Aardvark,Software,6,acquired,USA,CA,San Francisco,2,August Capital:5250000|Baseline Ventures:5250000|Felicis Ventures:750000|Harrison Metal:6000000.0|Signatures Capital:5250000|SV Angel:5250000|Techammer:5250000|Auren Hoffman:5250000|Barry Nalebuff:750000|Bobby Yazdani:5250000|Shervin Pishevar:5250000,11,Google,Blogging Platforms|Email|Information Technology|Search|Software|Video Streaming,USA,CA,Mountain View,50000000,USD,San Francisco,2007,-1
Aasonn,Hardware,20,operating,USA,IL,Naperville,1,LLR Partners:20000000,1,-,-,-,-,-,-,-,Dupage,2006,37.727239:-123.032229
Aastrom Biosciences,Technology,40,ipo,USA,MI,Ann Arbor,1,Eastern Capital:40000000,1,-,-,-,-,-,-,-,Washtenaw,1989,41.749173:-88.162019
Abacus,Software,3.5,operating,USA,NY,New York,2,Bessemer Venture Partners:3500000|CrunchFund:3500000|FundersClub:3500000|General Catalyst Partners:3500000|Google Ventures:3500000|Homebrew:3500000|Lunch Van Fund:3500000|QueensBridge Venture Partners:3500000|Sherpalo Ventures:3500000|Jeff Epstein:3500000|John Collison:3500000|Josh Reeves:3500000|Patrick Collison:3500000,13,-,-,-,-,-,-,-,New York,2013,42.275641:-83.731333
Abazab,Software,4.4,closed,USA,CA,Campbell,2,Advanced Equities:4100000|AsiaTech Management:4100000|DFJ Frontier:4100000|Draper Fisher Jurvetson (DFJ):4100000|Geneva Venture Partners:4100000,5,-,-,-,-,-,-,-,Santa Clara,1997,40.664274:-73.9385
